request_index,variant,expansion_after_steps,prompt_tokens,initial_canvas,final_canvas,expanded_at_first_block_step,expansion_reason,model_calls,steps_per_block,response_token_work,total_token_work,response_attention_work,total_attention_work,useful_generated_tokens,decoded_chars,elapsed_seconds,peak_memory_mb,pre_expand_tail_mask_fraction,pre_expand_eos_margin_mean,pre_expand_eos_margin_max,pre_expand_boundary_confidence_mean,pre_expand_boundary_confidence_max,decoded_text,text_similarity_vs_fixed,token_edit_distance_vs_fixed,token_edit_ratio_vs_fixed,length_delta_vs_fixed,response_token_work_ratio_vs_fixed,total_attention_work_ratio_vs_fixed
5,expand_after_12,12,27,32,256,12,deadline_before_model_call@first_block_step_12,29,32,4736,5519,1126400,1403285,30,164,1.7229659990116488,15641.95849609375,0.125,-5.86328125,13.875,0.8848907947540283,0.9991920590400696,"The main tradeoff between latency and throughput in online serving is that as latency decreases, the number of requests served per second increases, and vice versa.",0.2028985507246377,220,0.859375,-201,0.1,0.09471118785756251
5,expand_after_16,16,27,32,256,16,deadline_before_model_call@first_block_step_16,29,32,3840,4623,868352,1096853,30,164,1.5309911600197665,15641.95849609375,0.125,-5.6640625,14.875,0.8711958527565002,0.9999978542327881,"The main tradeoff between latency and throughput in online serving is that as latency decreases, the number of requests served per second increases, and vice versa.",0.2028985507246377,220,0.859375,-201,0.08108108108108109,0.0740293315578311
6,expand_after_0,0,41,32,256,0,initial_full_canvas,68,32,17408,20196,4456448,5998212,215,605,5.4195642819977365,15660.28466796875,,,,,,"To determine how far Lily runs in 8 hours at the same speed, we can use the formula for distance, which is:

\[ \text{Distance} = \text{Speed} \times \text{Time} \]

First, let's calculate the distance Lily runs in 4 hours at a speed of 12 km/h:

\[ \text{Distance} = 12 \, \text{km/h} \times 4 \, \text{hours} = 48 \, \text{km} \]

Now, we know Lily runs 48 km in 4 hours. To find out how far she runs in 8 hours at the same speed, we can use the same formula:

\[ \text{Distance} = 12 \, \text{km/h} \times 8 \, \text{hours} = 96 \, \text{km} \]

Therefore, Lily runs 96 km in 8 hours at the same speed.",1.0,0,0.0,0,1.0,1.0
6,expand_after_1,1,41,32,256,1,deadline_before_model_call@first_block_step_1,31,32,7712,8983,1967104,2651599,3,5,2.450219767022645,15660.28466796875,1.0,0.09375,3.625,0.48960426449775696,0.9910416007041931,96 km,0.01639344262295082,216,0.84375,-212,0.4430147058823529,0.4420649020074649
6,expand_after_2,2,41,32,256,2,deadline_before_model_call@first_block_step_2,33,32,8000,9353,2033664,2745137,30,70,2.5592000350006856,15660.28466796875,0.875,0.59375,6.6875,0.5043506026268005,0.9994927644729614,"Lily runs 96 km.

Distance = speed × time = 12 km/h × 8 hours = 96 km.",0.08888888888888889,216,0.84375,-185,0.45955882352941174,0.45765921577963564
6,expand_after_4,4,41,32,256,4,deadline_before_model_call@first_block_step_4,33,32,7552,8905,1904640,2579377,30,70,2.4675047210184857,15660.28466796875,0.625,-3.2890625,15.5,0.6180657148361206,0.9999644756317139,"Lily runs 96 km.

Distance = speed × time = 12 km/h × 8 hours = 96 km.",0.08888888888888889,216,0.84375,-185,0.4338235294117647,0.4300243139122125
6,expand_after_8,8,41,32,256,8,deadline_before_model_call@first_block_step_8,30,32,5888,7118,1449984,1983230,30,69,2.0439187540032435,15660.28466796875,0.0,-6.55859375,15.75,0.9955106973648071,0.9996498823165894,"If Lily runs at 12 km/h, then in 8 hours she will run 12 * 8 = 96 km.",0.142433234421365,216,0.84375,-185,0.3382352941176471,0.3306368631185427
6,expand_after_12,12,41,32,256,12,deadline_before_model_call@first_block_step_12,30,32,4992,6222,1191936,1651710,30,69,1.8552832409914117,15660.28466796875,0.0,-8.14453125,15.375,0.9968603849411011,0.9999897480010986,"If Lily runs at 12 km/h, then in 8 hours she will run 12 * 8 = 96 km.",0.142433234421365,216,0.84375,-185,0.2867647058823529,0.2753670593836963
6,expand_after_16,16,41,32,256,16,deadline_before_model_call@first_block_step_16,30,32,4096,5326,933888,1320190,30,65,1.669736882991856,15660.28466796875,0.0,-9.22265625,14.75,0.9954628944396973,0.9999972581863403,"Lily runs at 12 km/h, so in 8 hours, she will run 12 * 8 = 96 km.",0.13134328358208955,215,0.83984375,-185,0.23529411764705882,0.22009725564885002
7,expand_after_0,0,31,32,256,0,initial_full_canvas,199,32,50944,57113,13041664,16391431,254,1088,15.672646821010858,15646.78271484375,,,,,,"**Incident Report: P95 Latency Increase Post-Deployment**

**Incident Summary:**

**Date:** [Insert Date]

**Time:** [Insert Time]

**Location:** [Insert Location]

**Service:** [Insert Service Name]

**Description:**

After the recent deployment, the P95 latency for [Insert Service Name] has doubled, increasing from [Insert Previous Latency] to [Insert New Latency]. This significant increase in latency has impacted service performance and user experience.

**Impact:**

* Users reported slower response times and increased latency.
* Service performance has degraded, affecting business operations and customer satisfaction.

**Action Items:**

* Investigate the cause of the latency increase.
* Implement corrective actions to reduce P95 latency.
* Monitor service performance to ensure the issue is resolved.

**Next Steps:**

* Schedule a meeting with relevant teams to discuss the incident and prioritize corrective actions.
* Develop a plan to address the issue and prevent future occurrences.

**Prepared by:**

[Insert Name]

[Insert Title]

[Insert Department]

[Insert Date]",1.0,0,0.0,0,1.0,1.0
7,expand_after_1,1,31,32,256,1,deadline_before_model_call@first_block_step_1,40,32,10016,11256,2556928,3216360,1,1,3.1279890580044594,15646.78271484375,1.0,0.39453125,1.625,0.35775062441825867,0.9961667656898499,​,0.0,255,0.99609375,-253,0.19660804020100503,0.1962220382100867
7,expand_after_2,2,31,32,256,2,deadline_before_model_call@first_block_step_2,39,32,9536,10745,2426880,3055591,30,154,3.005454090976855,15646.78271484375,0.875,1.83203125,5.75,0.38838738203048706,0.9996426105499268,Incident Report: The p95 latency of the service doubled after a deployment. Further investigation is required to identify the cause and resolve the issue.,0.16264090177133655,250,0.9765625,-224,0.1871859296482412,0.1864139256664046
7,expand_after_4,4,31,32,256,4,deadline_before_model_call@first_block_step_4,39,32,9088,10297,2297856,2898791,30,154,2.909955152979819,15646.78271484375,0.625,-2.75,11.125,0.3880848288536072,0.999053418636322,Incident Report: The p95 latency of the service doubled after a deployment. Further investigation is required to identify the cause and resolve the issue.,0.16264090177133655,250,0.9765625,-224,0.17839195979899497,0.17684795183532176
7,expand_after_8,8,31,32,256,8,deadline_before_model_call@first_block_step_8,37,32,7680,8827,1908736,2420453,30,152,2.557008569012396,15646.78271484375,0.625,-2.9482421875,11.0,0.39932066202163696,0.9983354210853577,"Incident Report:

Service's p95 latency doubled post-deployment. Investigate root cause and implement corrective actions to restore optimal performance.",0.20806451612903226,252,0.984375,-224,0.1507537688442211,0.14766575291687467
7,expand_after_12,12,31,32,256,12,deadline_before_model_call@first_block_step_12,36,32,6528,7644,1585152,2024484,30,142,2.2850261220009997,15646.78271484375,0.625,-2.9765625,12.25,0.40812820196151733,0.9991030693054199,"Incident Report:

Service's p95 latency doubled after deployment. Investigate cause, assess impact, and implement fixes to prevent recurrence.",0.16747967479674797,252,0.984375,-224,0.12814070351758794,0.1235086796265683
7,expand_after_16,16,31,32,256,16,deadline_before_model_call@first_block_step_16,36,32,5632,6748,1327104,1710884,30,142,2.0904437260178383,15646.78271484375,0.625,-3.1357421875,11.625,0.41039523482322693,0.9997584223747253,"Incident Report:

Service's p95 latency doubled after deployment. Investigate cause, assess impact, and implement fixes to prevent recurrence.",0.16747967479674797,252,0.984375,-224,0.11055276381909548,0.10437673196440261
8,expand_after_0,0,28,32,256,0,initial_full_canvas,179,32,45824,50836,11730944,14437424,233,1216,14.077870145993074,15645.14892578125,,,,,,"Fixed output canvases can waste compute in masked diffusion language models because they limit the ability of the model to generate diverse and creative outputs. When the output canvas is fixed, the model is forced to generate outputs that fit within the same constraints, which can result in repetitive and predictable outputs. This can lead to a lack of diversity and creativity in the generated text, which can reduce the overall performance of the model.

Additionally, fixed output canvases can also limit the ability of the model to capture the nuances and complexities of the input text. When the output canvas is fixed, the model may not be able to generate outputs that are as detailed and accurate as the input text. This can result in outputs that are too simplistic or too vague, which can reduce the overall quality of the model.

Finally, fixed output canvases can also limit the ability of the model to generate outputs that are coherent and meaningful. When the output canvas is fixed, the model may not be able to generate outputs that are as coherent and meaningful as the input text. This can result in outputs that are incoherent or nonsensical, which can reduce the overall quality of the model.",1.0,0,0.0,0,1.0,1.0
8,expand_after_1,1,28,32,256,1,deadline_before_model_call@first_block_step_1,27,32,6688,7444,1704960,2100656,1,1,2.1060600969940424,15645.14892578125,1.0,2.58203125,3.3125,0.28227880597114563,0.9904142022132874,​,0.0,234,0.9140625,-232,0.14594972067039105,0.14550074861000134
8,expand_after_2,2,28,32,256,2,deadline_before_model_call@first_block_step_2,28,32,6720,7504,1705984,2104256,1,1,2.1333540700143203,15645.14892578125,0.875,2.01953125,2.9375,0.2968378961086273,0.9992982149124146,​,0.0,234,0.9140625,-232,0.14664804469273743,0.145750100571958
8,expand_after_4,4,28,32,256,4,deadline_before_model_call@first_block_step_4,27,32,6016,6772,1511424,1869488,1,1,1.9594700610032305,15645.14892578125,0.125,11.796875,18.25,0.8965319395065308,0.9991927742958069,​,0.0,234,0.9140625,-232,0.13128491620111732,0.12948902795955844
8,expand_after_8,8,28,32,256,8,deadline_before_model_call@first_block_step_8,24,32,4352,5024,1056768,1319296,1,1,1.5295484120142646,15645.14892578125,0.0,15.0546875,23.625,0.9220212697982788,0.9932952523231506,​,0.0,234,0.9140625,-232,0.09497206703910614,0.09138029055598838
8,expand_after_12,12,28,32,256,12,deadline_before_model_call@first_block_step_12,24,32,3456,4128,798720,1011072,1,1,1.3351091369986534,15645.14892578125,0.0,14.34375,20.375,0.8474040031433105,0.991031289100647,​,0.0,234,0.9140625,-232,0.07541899441340782,0.07003132968873117
8,expand_after_16,16,28,32,256,16,deadline_before_model_call@first_block_step_16,25,32,2816,3516,606208,783504,1,1,1.2197365819883998,15645.14892578125,0.0,14.8046875,22.0,0.7937273979187012,0.9795278310775757,​,0.0,234,0.9140625,-232,0.061452513966480445,0.05426896100024492
9,expand_after_0,0,29,32,256,0,initial_full_canvas,100,32,25600,28500,6553600,8122500,108,615,7.894392774003791,15645.39013671875,,,,,,"Autoregressive decoding and masked diffusion decoding are two popular methods for serving systems in natural language processing (NLP). Autoregressive decoding is a straightforward approach that involves predicting the next word in a sequence based on the previous words. This method is efficient and easy to implement, but it may not produce the best quality text. Masked diffusion decoding, on the other hand, is a more complex approach that involves training a diffusion model to generate text. This method can produce higher quality text, but it requires more computational resources and expertise to implement.",1.0,0,0.0,0,1.0,1.0
9,expand_after_1,1,29,32,256,1,deadline_before_model_call@first_block_step_1,20,32,4896,5476,1246208,1546996,1,1,1.555979094991926,15645.39013671875,1.0,3.15625,3.8125,0.2787708640098572,0.980254590511322,​,0.0,109,0.42578125,-107,0.19125,0.19045811018775008
9,expand_after_2,2,29,32,256,2,deadline_before_model_call@first_block_step_2,21,32,4928,5537,1247232,1550717,1,1,1.5870219779899344,15645.39013671875,0.875,3.4609375,6.5,0.37831270694732666,0.9994016885757446,​,0.0,109,0.42578125,-107,0.1925,0.19091622037550016
